C1,C2,C3,C4,C5
0,14,12,9,6,14
1,13,10,7,15,16
2,6,17,14,1,11
3,2,12,18,2,12
4,15,9,15,12,15
5,13,20,14,11,14
6,4,7,4,11,17
7,5,7,15,9,11
8,1,8,18,4,4
9,19,14,8,5,12
10,20,13,19,5,2
11,3,8,1,5,17
12,4,7,7,19,3
13,6,3,16,8,11
14,20,4,19,9,17
15,10,4,14,20,2
16,10,18,2,8,11
17,5,12,4,1,8
18,13,16,8,5,18
19,8,18,17,14,15
20,7,2,5,20,4
21,19,11,7,15,10
22,8,9,1,4,7
23,5,7,1,11,19
24,11,10,4,2,1
25,20,18,8,19,19
26,12,11,18,6,20
27,4,11,3,18,16
28,14,12,17,13,15
29,2,5,7,5,13
30,1,15,7,6,8
31,20,1,10,11,16
32,11,16,5,12,16
33,7,19,9,3,2
34,8,2,6,20,10
35,7,16,8,11,18
36,17,18,20,4,11
37,10,3,20,1,19
38,8,20,16,2,11
39,17,16,18,4,11
40,3,11,17,16,3
41,16,2,13,20,3
42,10,13,2,16,14
43,3,6,14,3,1
44,19,16,11,8,12
45,20,18,12,20,13
46,5,4,12,20,11
47,5,19,19,9,17
48,2,7,6,10,11
49,5,9,10,17,12
50,9,2,12,7,6
51,5,10,2,7,14
52,20,7,19,3,20
53,16,2,9,3,12
54,9,6,20,11,19
55,6,11,17,17,5
56,6,5,7,13,5
57,13,5,14,7,6
58,11,4,10,1,16
59,20,8,1,1,14
60,10,13,10,10,16
61,11,16,20,16,15
62,19,11,1,19,7
63,11,3,10,4,1
64,3,3,4,3,3
65,9,7,6,17,1
66,3,17,18,5,10
67,17,12,9,11,6
68,8,11,14,3,14
69,5,2,11,11,17
70,19,15,5,20,1
71,9,15,10,12,14
72,15,6,19,2,6
73,3,16,6,3,5
74,16,8,15,5,10
75,14,9,20,13,3
76,17,1,2,12,8
77,6,20,15,5,20
78,12,17,6,14,19
79,8,1,18,12,18
80,1,5,15,7,3
81,20,1,19,2,9
82,10,4,16,19,8
83,10,2,14,6,5
84,4,19,4,17,5
